video_id,video_duration_seconds
kFzP9KOKAx0,35.0
TfeWEYSGArU,222.0
pR_X6WeoqQQ,1361.0
GimaQNKoFWA,33.0
rjiFCwVtM3A,638.0
0rL-bJP4FsU,634.0
2EESRm0I4RI,1232.0
aa90SRz7dmg,612.0
eRY1Hx5CB08,697.0
v22p9NFQuQ8,1074.0
dYz4iBgGG-8,915.0
1PByb71pruc,220.0
yjgrH1jZ1MM,176.0
KUl_daqiSPw,546.0
ufmETVO_mko,621.0
bSsacGDbtuI,2452.0
zGcf-vcyveg,224.0
7HrQUOJsIrw,2182.0
bLVZ_kMn8Ys,403.0
8K8YCORi6o4,3851.0
isyJOt2LegA,146.0
1-ZaIJhWWp8,1738.0
G50s92nDHaA,229.0
HI7ItKfKLHQ,914.0
Rr2bnqjWTmQ,2088.0
0ghMRxz148M,1731.0
CT19bBTh4ZM,511.0
RdEgeiRFLF8,41.0
3AzUfu-A-p0,147.0
RsokiY6BgBI,948.0
0HtLw4hxUmw,581.0
NjnL0nWVRFY,35.0
X5DT8aWnwoY,32.0
uA6JzCc_vME,1171.0
Rv5xD5NwOlg,1063.0
GuGYYdwcPYw,230.0
-XxDkYgxB0Y,634.0
Nwh6CQ50h0g,199.0
hRxlREO_Iro,200.0
IRGeLNWptg8,314.0
CF_rghG8_8Q,3418.0
JK24gpMQonU,925.0
YWg2sB_i3Ew,1349.0
MhQ8X_0-I1M,292.0
7I4aHpfga0g,2133.0
xe5rCyGIfXc,184.0
mQ9RwWc436Y,1720.0
uXR0WiDXefQ,1030.0
15VTJ9oCh7M,722.0
v7osyvQIA4E,713.0
iELl8gRikno,489.0
WYrU-JL5Z48,539.0
hJBwYzkNADs,882.0
J0btvYwPAcU,199.0
jnsXcedCXJg,1248.0
kH0zeqkPYqE,1316.0
aqqV-hHtc8w,552.0
ldLrVh8yXaA,629.0
O6VgTVd9J2o,1050.0
GCU3DeO2bAk,35.0
Z91ZqY_D318,219.0
YtqiCgLb6lM,89.0
UVgknsxBp7c,1229.0
